cutoff,cutoff_days,n,n_pos,prevalence,pr_auc,roc_auc,f1,precision,recall,f1_best,threshold_best,threshold,median_obs_seen,n_empty,mode,seed,fold,best_epoch
full,,486,23,0.047325102880658436,0.46773140099948896,0.9124800450746549,0.36363636363636365,0.23684210526315788,0.782608695652174,0.576923076923077,0.7734386324882507,0.5,152.0,0,finetune,0,1,6
-50d,-50.0,488,24,0.04918032786885246,0.12126432004361265,0.798760775862069,0.17801047120418848,0.10179640718562874,0.7083333333333334,0.2626262626262626,0.803801417350769,0.5,72.0,5,finetune,0,2,30
-20d,-20.0,488,24,0.04918032786885246,0.11562306436827376,0.7798132183908046,0.17486338797814208,0.10062893081761007,0.6666666666666666,0.23157894736842108,0.802383542060852,0.5,75.0,1,finetune,0,2,30
-10d,-10.0,488,24,0.04918032786885246,0.11725523571447546,0.7842133620689655,0.1787709497206704,0.1032258064516129,0.6666666666666666,0.23076923076923075,0.7817431092262268,0.5,76.0,1,finetune,0,2,30
+0d,0.0,488,24,0.04918032786885246,0.1793917519629713,0.8180675287356323,0.20118343195266272,0.11724137931034483,0.7083333333333334,0.2616822429906542,0.7663918733596802,0.5,78.0,0,finetune,0,2,30
+20d,20.0,488,24,0.04918032786885246,0.2846530065213787,0.8644935344827587,0.23529411764705882,0.13953488372093023,0.75,0.3466666666666666,0.8293807506561279,0.5,82.0,0,finetune,0,2,30
+50d,50.0,488,24,0.04918032786885246,0.37128830229038984,0.9239403735632185,0.3448275862068966,0.21739130434782608,0.8333333333333334,0.4912280701754386,0.8727970719337463,0.5,85.5,0,finetune,0,2,30
+100d,100.0,488,24,0.04918032786885246,0.399071037972378,0.9251077586206897,0.33962264150943394,0.21951219512195122,0.75,0.5333333333333333,0.9368141889572144,0.5,90.5,0,finetune,0,2,30
full,,488,24,0.04918032786885246,0.4918915990962842,0.9505208333333333,0.45454545454545453,0.3125,0.8333333333333334,0.5964912280701754,0.9661558866500854,0.5,148.0,0,finetune,0,2,30
-50d,-50.0,487,24,0.049281314168377825,0.14175546485925472,0.7564794816414686,0.1642512077294686,0.09289617486338798,0.7083333333333334,0.2580645161290323,0.7787313461303711,0.5,67.0,7,finetune,0,3,13
-20d,-20.0,487,24,0.049281314168377825,0.14848394106855944,0.7471202303815694,0.16831683168316833,0.09550561797752809,0.7083333333333334,0.22058823529411764,0.7227067947387695,0.5,69.0,2,finetune,0,3,13
-10d,-10.0,487,24,0.049281314168377825,0.15592133007784026,0.7618790496760259,0.17708333333333334,0.10119047619047619,0.7083333333333334,0.2807017543859649,0.7755313515663147,0.5,71.0,1,finetune,0,3,13
+0d,0.0,487,24,0.049281314168377825,0.21721658781181696,0.7878869690424766,0.19101123595505617,0.11038961038961038,0.7083333333333334,0.3225806451612903,0.7698444128036499,0.5,74.0,0,finetune,0,3,13
+20d,20.0,487,24,0.049281314168377825,0.24762292309995773,0.8122750179985602,0.23448275862068965,0.14049586776859505,0.7083333333333334,0.380952380952381,0.7574194073677063,0.5,77.0,0,finetune,0,3,13
+50d,50.0,487,24,0.049281314168377825,0.29822075282743943,0.8336033117350612,0.3364485981308411,0.21686746987951808,0.75,0.4444444444444445,0.7764596939086914,0.5,82.0,0,finetune,0,3,13
+100d,100.0,487,24,0.049281314168377825,0.3760592788449784,0.8450323974082073,0.391304347826087,0.2647058823529412,0.75,0.52,0.7617282867431641,0.5,86.0,0,finetune,0,3,13
full,,487,24,0.049281314168377825,0.531928718562836,0.8694204463642909,0.425,0.30357142857142855,0.7083333333333334,0.5714285714285714,0.8072776198387146,0.5,147.0,0,finetune,0,3,13
-50d,-50.0,486,23,0.047325102880658436,0.13648142958503304,0.8109681660249789,0.19298245614035087,0.1073170731707317,0.9565217391304348,0.23622047244094488,0.8246629238128662,0.5,72.0,1,finetune,0,4,22
-20d,-20.0,486,23,0.047325102880658436,0.20235104361521317,0.8482486618461827,0.19469026548672566,0.10837438423645321,0.9565217391304348,0.3142857142857143,0.8651708364486694,0.5,75.5,1,finetune,0,4,22
-10d,-10.0,486,23,0.047325102880658436,0.2165045472373635,0.8421448023288572,0.19909502262443438,0.1111111111111111,0.9565217391304348,0.28070175438596484,0.8724247217178345,0.5,77.0,1,finetune,0,4,22
+0d,0.0,486,23,0.047325102880658436,0.2911044492233647,0.8772654709362382,0.19730941704035873,0.11,0.9565217391304348,0.34146341463414637,0.903661847114563,0.5,80.5,0,finetune,0,4,22
+20d,20.0,486,23,0.047325102880658436,0.4899145908613774,0.916705793971265,0.23655913978494625,0.13496932515337423,0.9565217391304348,0.5128205128205128,0.924015462398529,0.5,83.0,0,finetune,0,4,22
+50d,50.0,486,23,0.047325102880658436,0.42006859729307244,0.9419663818198891,0.34375,0.20952380952380953,0.9565217391304348,0.5862068965517241,0.8874009847640991,0.5,89.0,0,finetune,0,4,22
+100d,100.0,486,23,0.047325102880658436,0.4147427058958969,0.9489153911165369,0.3893805309734513,0.24444444444444444,0.9565217391304348,0.5625,0.8881702423095703,0.5,94.0,0,finetune,0,4,22
full,,486,23,0.047325102880658436,0.6330706946003157,0.9695746079444079,0.44,0.2857142857142857,0.9565217391304348,0.6,0.9568009376525879,0.5,147.0,0,finetune,0,4,22
-50d,-50.0,487,24,0.049281314168377825,0.08546271290252783,0.7163426925845933,0.16666666666666666,0.09375,0.75,0.18181818181818182,0.577528178691864,0.5,72.0,1,finetune,1,0,5
-20d,-20.0,487,24,0.049281314168377825,0.1093516740273039,0.7423506119510439,0.17061611374407584,0.0962566844919786,0.75,0.1904761904761905,0.6255658864974976,0.5,75.0,0,finetune,1,0,5
-10d,-10.0,487,24,0.049281314168377825,0.10515996511564281,0.7479301655867531,0.18269230769230768,0.10326086956521739,0.7916666666666666,0.1888888888888889,0.5789013504981995,0.5,76.0,0,finetune,1,0,5
+0d,0.0,487,24,0.049281314168377825,0.13603007811530157,0.7724082073434125,0.18095238095238095,0.10215053763440861,0.7916666666666666,0.21468926553672318,0.569454550743103,0.5,79.0,0,finetune,1,0,5
+20d,20.0,487,24,0.049281314168377825,0.17623908778302882,0.8102951763858891,0.19689119170984457,0.11242603550295859,0.7916666666666666,0.27586206896551724,0.7405703663825989,0.5,81.0,0,finetune,1,0,5
+50d,50.0,487,24,0.049281314168377825,0.30364600591117397,0.8390928725701943,0.24203821656050956,0.14285714285714285,0.7916666666666666,0.3636363636363636,0.7631452083587646,0.5,85.0,0,finetune,1,0,5
+100d,100.0,487,24,0.049281314168377825,0.2930421702222714,0.8425125989920806,0.2753623188405797,0.16666666666666666,0.7916666666666666,0.37333333333333335,0.6856395602226257,0.5,91.0,0,finetune,1,0,5
full,,487,24,0.049281314168377825,0.38088381605456884,0.8924586033117351,0.32558139534883723,0.2,0.875,0.45454545454545453,0.7901265621185303,0.5,152.0,0,finetune,1,0,5
-50d,-50.0,486,23,0.047325102880658436,0.1740930621351378,0.7954737534040754,0.16216216216216217,0.09259259259259259,0.6521739130434783,0.24242424242424243,0.7102746963500977,0.5,76.0,2,finetune,1,1,7
-20d,-20.0,486,23,0.047325102880658436,0.18360192014324264,0.7975396750868626,0.1797752808988764,0.1032258064516129,0.6956521739130435,0.27499999999999997,0.7112055420875549,0.5,80.0,1,finetune,1,1,7
-10d,-10.0,486,23,0.047325102880658436,0.13436453181884744,0.7844868062728895,0.19428571428571428,0.1118421052631579,0.7391304347826086,0.2260869565217391,0.6876273155212402,0.5,81.0,1,finetune,1,1,7
+0d,0.0,486,23,0.047325102880658436,0.15549954469299176,0.8082449056249413,0.21965317919075145,0.12666666666666668,0.8260869565217391,0.26829268292682923,0.7442598342895508,0.5,84.0,0,finetune,1,1,7
